date,open,high,low,close,volume
7/2/2013,88.05000305,92.30000305,87.51000214,90.13400269,0
7/3/2013,90.40499878,90.98120117,76.97920227,77.52999878,0
7/4/2013,78.88999939,83.10500336,72,80.52580261,0
7/5/2013,79.98999786,80,65.52600098,68.43099976,0
7/6/2013,68.50499725,75,66.81999969,70.27729797,0
7/7/2013,68.74900055,74.56109619,66.62000275,74.56109619,0
7/8/2013,76.5,80,72.59999847,76.51599884,0
7/9/2013,76,78.30000305,72.51999664,76.69400024,0
7/10/2013,76.72000122,87,76.19999695,86.76000214,0
7/11/2013,88,90.27999878,85.07990265,88.98000336,0
7/12/2013,88.97899628,104,88.16600037,93.59490204,0
7/13/2013,93.98989868,98.25,88.06220245,98.1339035,0
7/14/2013,98.69999695,98.69999695,92.86000061,94.69129944,0
7/15/2013,93.60500336,101.9000015,93.11000061,98.40019989,0
7/16/2013,98.89029694,99.86229706,96.14160156,97.45079803,0
7/17/2013,96.70999908,99.97000122,96.18000031,98.5,0
7/18/2013,98.5,98.80000305,86.19999695,90.58000183,0
7/19/2013,90.06890106,95.20010376,87.80000305,92.16999817,0
7/20/2013,92,93.09999847,89.27110291,89.39009857,0
7/21/2013,89.8214035,91.94999695,88,90.75730133,0
7/22/2013,91.9980011,91.9980011,90.07540131,91.61000061,0
7/23/2013,91.59999847,96.81929779,91.59999847,95.5585022,0
7/24/2013,95.5585022,95.98999786,93,94.51000214,0
7/25/2013,94.50499725,97.33000183,93.86569977,96.90000153,0
7/26/2013,96.94999695,97.46910095,96,96.02020264,0
7/27/2013,96.02010345,96.99500275,93,94.11599731,0
7/28/2013,94.40000153,100.5770035,94,99.7559967,0
7/29/2013,98.59999847,102.5,98.45500183,101.1999969,0
7/30/2013,101.4889984,107.9899979,100.4700012,107.9899979,0
7/31/2013,107.9499969,111.3440018,103.8799973,106.0899963,0
8/1/2013,106.2129974,108,103.0110016,104,0
8/2/2013,104.8560028,108,101.2109985,104.5009995,0
8/3/2013,104.5009995,105.7799988,102.0019989,104.0049973,0
8/4/2013,104.9499969,105.9499969,103.5230026,105.1439972,0
8/5/2013,105.1200027,107.7699966,105,106.2200012,0
8/6/2013,106.7200012,107.3820038,105.5569992,106.75,0
8/7/2013,106.75,106.75,106.75,106.75,0
8/8/2013,106.75,106.75,101.2600021,103,0
8/9/2013,103.0699997,105.75,101.9349976,102.8000031,0
8/10/2013,102.8000031,103.9000015,102.4100037,103,0
8/11/2013,103,105.1900024,102.7549973,105,0
8/12/2013,105,108,103.5,106.6360016,0
8/13/2013,106.9899979,109.3499985,104.6500015,109,0
8/14/2013,109.5550003,114.9950027,108.0009995,112.5619965,0
8/15/2013,112.5619965,113.2450027,109,109.9899979,0
8/16/2013,109.9950027,112.3000031,108.5169983,108.9940033,0
8/17/2013,108.9940033,113.75,108.2249985,113.5,0
8/18/2013,112.75,114.6880035,112,113.5,0
8/19/2013,113.3799973,123.0619965,111.7710037,119,0
8/20/2013,119,123.0110016,117.5080032,121.2050018,0
8/21/2013,121.2099991,124.9140015,119.6819992,123.3000031,0
8/22/2013,123.3000031,123.5,120.5999985,121.1500015,0
8/23/2013,122,122,118.4440002,118.5009995,0
8/24/2013,118.5100021,121.3899994,118.0199966,120.0449982,0
8/25/2013,119.6029968,122.9869995,119.1699982,122.1110001,0
8/26/2013,122.1110001,122.7549973,119.9300003,120.0559998,0
8/27/2013,120.0699997,127.2399979,120.0699997,126.5,0
8/28/2013,126.4800034,127.3199997,122.6200027,122.6200027,0
8/29/2013,122.6200027,123.6999969,122.2099991,122.3899994,0
8/30/2013,122.3499985,135.75,120.9899979,133.4900055,0
8/31/2013,133.0899963,140.8899994,132.7200012,135.3500061,0
9/1/2013,135.1399994,145.8099976,134.8099976,138.3399963,0
9/2/2013,138.6300049,146.5,134.8899994,135.8500061,0
9/3/2013,135.6100006,138.3399963,133,136.7700043,0
9/4/2013,136.5299988,144.5,123.6100006,126.7399979,0
9/5/2013,126.7600021,131.4400024,121.8300018,126.4300003,0
9/6/2013,126.4899979,127.3399963,119.1500015,119.1500015,0
9/7/2013,118.8899994,125.9400024,118.4599991,124.1500015,0
9/8/2013,124.1299973,124.7200012,120.4899979,121.6600037,0
9/9/2013,121.8600006,129.0599976,119.75,127.1100006,0
9/10/2013,127.2699966,129.7400055,125.9000015,125.9100037,0
9/11/2013,125.8899994,137.8300018,123.2699966,135.25,0
9/12/2013,135.5500031,136.0800018,131.8099976,133.1300049,0
9/13/2013,132.8300018,137.5800018,132.2700043,134.9799957,0
9/14/2013,135.0099945,135.8500061,128.8699951,129.2200012,0
9/15/2013,129.3999939,131.4400024,128.2599945,130.3699951,0
9/16/2013,130.8600006,132.7200012,129.7700043,131.7200012,0
9/17/2013,131.5899963,132.7599945,124.8899994,131.6600037,0
9/18/2013,131.7100067,133.1999969,130.5399933,131.4700012,0
9/19/2013,131.3699951,131.7700043,128.4499969,129.6499939,0
9/20/2013,129.6999969,135.6199951,126.6800003,127.0400009,0
9/21/2013,126.9499969,128.6100006,126.2399979,127.4300003,0
9/22/2013,127.8700027,133.9400024,126.5899963,129.1199951,0
9/23/2013,128.9799957,132.7250061,125.6600037,125.9499969,0
9/24/2013,126.0500031,127.4599991,125.3899994,127.25,0
9/25/2013,127.3799973,129.6900024,127.3300018,128.2200012,0
9/26/2013,128.2100067,134.9340057,127.3199997,128.3800049,0
9/27/2013,128.9400024,134.7400055,128.4900055,133.7799988,0
9/28/2013,133.7700043,135.6300049,132.5599976,134.7799988,0
9/29/2013,134.8999939,140.6100006,134.7100067,137.3399963,0
9/30/2013,137.1499939,138.3500061,130.2700043,133,0
10/1/2013,132.6799927,134.6300049,131.5500031,132.1799927,0
10/2/2013,132.0500031,133.5899963,102.25,114.1299973,0
10/3/2013,114.4499969,123.6299973,111.8199997,123.6299973,0
10/4/2013,123.4100037,130.0899963,123.4100037,129.0099945,0
10/5/2013,128.6300049,130.4400024,128.0299988,128.5500031,0
10/6/2013,128.3600006,129.6600037,126.1500015,129,0
10/7/2013,129.4299927,130.2700043,126.3600006,126.9400024,0
10/8/2013,126.7399979,127.4700012,124.7099991,126,0
10/9/2013,125.8499985,131.75,125.5800018,130.6900024,0
10/10/2013,130.6699982,131.5,129.2599945,130.5899963,0
10/11/2013,130.75,131.8099976,129.6399994,130.8999939,0
10/12/2013,130.8999939,135.6600037,130.5599976,135.1900024,0
10/13/2013,135.1900024,138.6600037,134.5500031,138.1300049,0
10/14/2013,139.2700043,144.1199951,138.8999939,140.5200043,0
10/15/2013,140.7700043,145.3899994,139.1300049,145.2400055,0
10/16/2013,145.6499939,152.2299957,142.4299927,142.5500031,0
10/17/2013,142.4100037,147.4199982,142.4100037,146.25,0
10/18/2013,146.3699951,155.9600067,145.5700073,155.9600067,0
10/19/2013,155.9100037,177.4799957,155.6999969,172.4199982,0
10/20/2013,171.6600037,174.9100037,168.9499969,174.6100006,0
10/21/2013,174.8000031,184.8200073,174.8000031,182.2100067,0
10/22/2013,182.6499939,196.2700043,182.6499939,193.7599945,0
10/23/2013,193.3600006,213.6199951,192.3800049,213.6199951,0
10/24/2013,214.3000031,217.4199982,168.5200043,198.2299957,0
10/25/2013,197.6900024,198.8699951,168.5,186.6900024,0
10/26/2013,187.4499969,188.4100037,175.75,177.3200073,0
10/27/2013,176.6000061,196.4400024,176.6000061,196.4400024,0
10/28/2013,196.2100067,198.6199951,192.0599976,198.5500031,0
10/29/2013,198.5500031,204.7899933,198.5500031,204.3899994,0
10/30/2013,204.3899994,209.1600037,199.9700012,199.9700012,0
10/31/2013,199.8300018,205.1799927,198.8500061,204,0
11/1/2013,203.8999939,206.6499939,202.1300049,206.1799927,0
11/2/2013,205.8099976,207.7599945,201.6499939,206.2200012,0
11/3/2013,205.9900055,215.0500031,203.9900055,215.0500031,0
11/4/2013,214.6600037,231.0099945,213.9400024,229.1000061,0
11/5/2013,229.2100067,250.6600037,226.2200012,245.2400055,0
11/6/2013,244.7799988,263,244.7799988,262.5,0
11/7/2013,261.6799927,304.1700134,261.5499878,296.4100037,0
11/8/2013,297.8500061,338.6600037,296.9299927,338.1099854,0
11/9/2013,338.5799866,370.8200073,319.7099915,339.1099854,0
11/10/2013,348.8200073,350.7000122,277.2399902,326.6199951,0
11/11/2013,325.4100037,351.269989,311.7799988,342.4400024,0
11/12/2013,343.0599976,362.8099976,342.7999878,360.3299866,0
11/13/2013,360.9700012,414.0499878,359.7999878,407.3699951,0
11/14/2013,406.4100037,425.8999939,395.1900024,420.2000122,0
11/15/2013,419.4100037,437.8900146,396.1099854,417.9500122,0
11/16/2013,417.2799988,450.2600098,415.5700073,440.2200012,0
11/17/2013,440.9599915,500.5799866,440.2399902,492.1099854,0
11/18/2013,496.5799866,703.7800293,494.9400024,703.5599976,0
11/19/2013,712.7600098,806.1099854,456.3900146,584.6099854,0
11/20/2013,577.9799805,599.6500244,448.4500122,590.8300171,0
11/21/2013,594.3200073,733.4000244,577.289978,722.4299927,0
11/22/2013,724.0700073,780.8499756,668.1300049,771.4400024,0
11/23/2013,771.7000122,844.9699707,771.7000122,797.8200073,0
11/24/2013,795.6300049,807.3599854,722.8699951,774.25,0
11/25/2013,773.0200195,810.6799927,754.4299927,799.1099854,0
11/26/2013,805.7299805,928.539978,800.7999878,928.0999756,0
11/27/2013,923.8499756,1001.960022,891.6799927,1001.960022,0
11/28/2013,1003.380005,1077.560059,962.1699829,1031.949951,0
11/29/2013,1042.01001,1146.969971,1000.640015,1131.969971,0
11/30/2013,1129.369995,1156.140015,1106.609985,1129.430054,0
12/1/2013,1128.920044,1133.079956,801.8200073,955.8499756,0
12/2/2013,951.4199829,1055.420044,938.4099731,1043.329956,0
12/3/2013,1046.400024,1096,1011.210022,1078.280029,0
12/4/2013,1077.579956,1156.119995,1070.160034,1151.170044,0
12/5/2013,1152.72998,1154.359985,897.1099854,1045.109985,0
12/6/2013,1042.380005,1042.380005,829.4500122,829.4500122,0
12/7/2013,835.3200073,854.6400146,640.2199707,698.2299805,0
12/8/2013,697.3099976,802.5100098,670.8800049,795.8699951,0
12/9/2013,793.7999878,921.9299927,780.9000244,893.1900024,0
12/10/2013,892.3200073,997.2299805,892.3200073,988.5100098,0
12/11/2013,989.0700073,1001.580017,834.2299805,878.4799805,0
12/12/2013,882.7800293,901.9400024,844.9500122,873.2600098,0
12/13/2013,874.9799805,941.789978,860.0499878,892.5800171,0
12/14/2013,899.8499756,904.6500244,858.3599854,872.5999756,0
12/15/2013,875.289978,886.1599731,825,876.1199951,0
12/16/2013,880.3300171,882.25,668.25,705.9699707,0
12/17/2013,706.3699951,754.8300171,630.8800049,682.1199951,0
12/18/2013,678.2000122,679.3200073,420.5100098,522.7000122,0
12/19/2013,519.0599976,707.2299805,502.8900146,691.960022,0
12/20/2013,694.2199707,729.1599731,595.3300171,625.3200073,0
12/21/2013,619.9000244,654.2700195,579.1699829,605.6599731,0
12/22/2013,601.7800293,666.7399902,585.6400146,617.1799927,0
